sinonom_char,am_han_viet,all_readings
㐀,khâu,khâu
㐅,ngũ,ngũ
㐫,hung,hung
㐬,lưu,lưu
㐮,tương,tương
㐯,dong,dong
㐱,chẩn,chẩn
㐴,phan,phan
㐵,nho,nho
㐷,má,má
㑄,hối,hối
㑌,uông,uông
㑨,hầu,hầu ngu vũ
㑩,la,la
㑪,sài,sài
㑫,nộm,nộm
㑺,tuấn,tuấn
㒇,vũ,vũ
㒋,tư,tư
㒒,bộc,bộc phó
㒚,văn,văn
㒰,toàn,toàn
㒲,tài,tài
㒵,mạc,mạc mạo mộc
㒷,hưng,hưng
㓁,võng,võng
㓛,công,công
㓟,phay,phay
㓠,chẻm,chẻm
㓮,điêu,điêu
㓶,khía,khía
㓷,nhị,nhị
㓸,trác,trác
㔉,chủ,chủ
㔾,tiết,tiết
㕑,trù,trù
㕚,trảo,trảo
㕞,lóat,lóat xóat loát
㕣,diên,diên duyện
㕭,êu,êu
㕮,bô,bô bu
㕰,mau,mau
㕵,uống,uống
㕸,lắp,lắp
㖇,nhe,nhe
㖑,nhái,nhái
㖗,sùm,sùm
㖞,oa,oa
㖠,nhại,nhại
㖣,vòi,vòi
㖧,hôn,hôn
㖫,lừng,lừng
㖹,vồn,vồn
㖼,mỏ,mỏ
㖽,hợt,hợt
㗅,hồ,hồ
㗑,bới,bới
㗖,thào,thào
㗙,sò,sò
㗚,trắt,trắt
㗜,súc,súc
㗢,rống,rống
㗳,tháp,tháp
㗴,nhằn,nhằn
㘅,hàm,hàm
㘇,vang,vang
㘋,hờn,hờn
㘓,ran,ran
㘨,nồi,nồi
㘽,tài,tài
㙊,tràng,tràng trường
㙤,hố,hố
㙮,đắp,đắp
㙳,khảm,khảm
㙴,thềm,thềm
㚖,dịch,dịch thích trạch
㚝,khuê,khuê
㚣,giao,giao
㛛,thần,thần
㛪,em,em
㝃,miễn,miễn
㝛,túc,túc
㝡,tối,tối
㝢,vũ,vũ
㝵,đắc,đắc ngại
㞐,cư,cư
㟁,ngạn,ngạn
㟗,bân,bân
㟢,yêm,yêm
㟥,sâm,sâm
㟴,ủy,ủy
㠀,đảo,đảo
㠊,khu,khu
㠯,dĩ,dĩ
㠶,phàm,phàm phâm
㡀,tệ,tệ
㡡,trù,trù
㡴,lụp,lụp
㡿,xịch,xịch
㢴,tây,tây
㣶,chênh,chênh
㣺,tâm,tâm
㣼,nhẫn,nhẫn
㤒,bát,bát
㤓,bỡn,bỡn
㤕,trót,trót
㤖,nạnh,nạnh
㤡,sệt,sệt
㤭,kiêu,kiêu
㤳,bẽ,bẽ
㤵,từ,từ
㥃,muốn,muốn
㥥,ngùng,ngùng
㥯,ẩn,ẩn
㥵,hỗn,hỗn
㦆,hú,hú
㦉,nhát,nhát
㦖,muốn,muốn
㧃,thu,thu
㧅,đeo,đeo
㧍,phang,phang
㧑,vày,vày
㧖,ách,ách
㧛,lãm,lãm
㧜,xợp,xợp
㧰,lịch,lịch
㧼,bíu,bíu
㧾,hốt,hốt
㨉,mân,mân
㨔,giằm,giằm
㨗,tiệp,tiệp
㨢,nâng,nâng
㨫,giam,giam
㨶,đẽo,đẽo
㩁,giác,giác
㩒,cắm,cắm
㩜,giam,giam
㩡,dủi,dủi
㩢,mót,mót
㩧,bẹo,bẹo
㪅,canh,canh
㪯,cử,cử
㫃,ễnh,ễnh
㫗,hậu,hậu
㫪,thung,thung xuân
㫻,luôn,luôn
㫼,xế,xế
㫾,thửng,thửng
㬅,man,man
㬎,hiển,hiển
㬜,tấn,tấn
㬢,hi,hi hy
㬱,thảm,thảm
㬿,thôn,thôn
㭎,cương,cương
㭒,cử,cử
㭤,điểu,điểu
㭨,da,da
㭭,bát,bát
㭲,góc,góc
㮇,quát,quát thiệm thiến
㮈,nậy,nậy nại
㮍,tiên,tiên
㮔,tròng,tròng
㮣,khái,khái
㮤,tông,tông tùng
㮶,sáo,sáo sóc
㯃,tất,tất thế
㯍,tương,tương
㯝,rọ,rọ
㯭,lỗ,lỗ
㯰,thực,thực trĩ
㯲,cụm,cụm
㯶,tông,tông
㯷,bục,bục
㯽,tân,tân
㯿,xộp,xộp
㰁,lõi,lõi
㰍,trồng,trồng
㰏,cao,cao
㰙,nạng,nạng
㱩,độc,độc
㱮,hội,hội
㱿,xác,xác
㲓,nhung,nhung
㲸,ướt,ướt
㳃,thối,thối tụy
㳄,diên,diên
㳉,ngóet,ngóet ngoét
㳌,nhớp,nhớp
㳒,pháp,pháp
㳔,đuối,đuối
㳕,làn,làn
㳠,dạt,dạt
㳥,lỏng,lỏng
㳪,vữa,vữa
㳯,tăn,tăn
㳶,nhỏ,nhỏ
㳽,di,di
㴋,tiêu,tiêu
㴑,tố,tố
㴔,hấp,hấp
㴞,đào,đào thao
㵒,phè,phè
㵢,loi,loi
㶉,khê,khê
㶚,bá,bá
㶤,tạch,tạch
㶶,nóng,nóng
㷀,qùynh,qùynh
㷉,ủi,ủi
㷔,diễm,diễm
㷚,đòanh,đòanh đoành
㷝,dụt,dụt
㷠,lân,lân
㸿,độc,độc
㹠,đồn,đồn
㹥,chó,chó
㹦,điêu,điêu
㹨,dứu,dứu
㹯,hươu,hươu
㺃,cẩu,cẩu
㺍,tân,tân
㺏,trâu,trâu
㺔,voi,voi
㺞,dữ,dữ
㺧,heo,heo
㽣,vực,vực
㽳,võ,võ
㽵,bành,bành trang
㽽,cố,cố
㽿,cùi,cùi
㾄,rù,rù
㾾,hem,hem
㿟,hiệu,hiệu
㿷,tháo,tháo
䀋,diêm,diêm
䀠,cù,cù
䀡,xem,xem
䀢,thuấn,thuấn
䀧,hòng,hòng
䀩,nhác,nhác
䀹,tiếp,tiếp
䁛,coi,coi
䂀,ngươi,ngươi
䂓,quy,quy
䂫,bổn,bổn
䃅,sạn,sạn
䃉,dân,dân
䃘,khanh,khanh
䄃,ương,ương
䄅,dạng,dạng dưỡng
䄍,chá,chá
䄺,đề,đề
䅟,sam,sam
䆋,thu,thu
䆫,song,song
䆴,táo,táo
䆼,khoa,khoa
䇄,ngất,ngất
䇮,sậy,sậy
䇲,giáp,giáp
䇳,tiên,tiên
䇻,vỉ,vỉ
䈇,trạo,trạo
䈎,diệp,diệp hiệt
䈫,nắp,nắp
䉤,sổ,sổ tẩu
䉵,soạn,soạn
䊷,chài,chài
䋖,luột,luột
䋝,anh,anh
䋥,lưới,lưới
䋦,mối,mối
䋲,thằng,thằng
䌂,ác,ác ốc
䌥,diễn,diễn
䌫,lãm,lãm
䌶,chài,chài
䌷,dò,dò
䌸,truyện,truyện
䌹,quynh,quynh
䌽,thái,thái
䍀,lãm,lãm
䍁,choại,choại
䏕,nhẫm,nhẫm
䏧,da,da
䏴,teo,teo
䏾,bọng,bọng
䐈,sự,sự thực
䐗,đỗ,đỗ trư
䐥,ỏng,ỏng
䐭,giái,giái
䐰,tu,tu
䑃,mông,mông
䑓,đài,đài thai
䑛,để,để thỉ
䑺,phàm,phàm phâm
䒒,thiều,thiều
䒜,ngâu,ngâu
䒳,đóa,đóa
䒿,doanh,doanh
䓨,oanh,oanh
䔛,khỏanh,khỏanh
䔥,tiêu,tiêu
䔲,đắng,đắng
䕃,âm,âm
䕌,trĩ,trĩ
䕝,sắng,sắng
